subject_name,absolute_course_url,course_name
Computer Science,https://www.class-central.com/course/coursera-windows-server-management-and-security-9320,Windows Server Management and Security
Computer Science,https://www.class-central.com/course/coursera------9988,Методы и средства защиты информации
Computer Science,https://www.class-central.com/course/coursera-data-analytics-foundations-for-accountancy-ii-10515,Data Analytics Foundations for Accountancy II
Computer Science,https://www.class-central.com/course/coursera-on-premises-capacity-upgrade-and-monitoring-with-google-cloud-s-apigee-api-platform-10755,On Premises Capacity Upgrade and Monitoring with Google Cloud's Apigee API Platform
Computer Science,https://www.class-central.com/course/coursera-fpga-computing-systems-background-knowledge-and-introductory-materials-10673, FPGA computing systems: Background knowledge and introductory materials
Computer Science,https://www.class-central.com/course/coursera---artificial-intelligence-search-logic-10375,人工智慧：搜尋方法與邏輯推論 (Artificial Intelligence - Search & Logic)
Computer Science,https://www.class-central.com/course/coursera-access-controls-10337,Access Controls 
Computer Science,https://www.class-central.com/course/coursera-intro-to-tensorflow-11075,Intro to TensorFlow
Computer Science,https://www.class-central.com/course/coursera-networking-and-security-architecture-with-vmware-nsx-11688,Networking and Security Architecture with VMware NSX
Computer Science,https://www.class-central.com/course/coursera-palo-alto-networks-cybersecurity-gateway-i-12011,Palo Alto Networks Cybersecurity Gateway I
Computer Science,https://www.class-central.com/course/coursera-google-cloud-platform-fundamentals-core-infrastructure-auf-deutsch-11816,Google Cloud Platform Fundamentals: Core Infrastructure auf Deutsch
Computer Science,https://www.class-central.com/course/coursera--2762,高级数据结构与算法
Computer Science,https://www.class-central.com/course/openhpi-automated-visual-software-analytics-3277,Automated Visual Software Analytics
Computer Science,https://www.class-central.com/course/coursera-essential-cloud-infrastructure-foundation-8760,Essential Cloud Infrastructure: Foundation
Computer Science,https://www.class-central.com/course/coursera-google-cloud-platform-fundamentals-for-aws-professionals-8614,Google Cloud Platform Fundamentals for AWS Professionals
Computer Science,https://www.class-central.com/course/coursera-securing-and-integrating-components-of-your-application-9802,Securing and Integrating Components of your Application
Computer Science,https://www.class-central.com/course/edx-machine-learning-7231,Machine Learning
Computer Science,https://www.class-central.com/course/coursera-shortest-paths-revisited-np-complete-problems-and-what-to-do-about-them-7351,"Shortest Paths Revisited, NP-Complete Problems and What To Do About Them"
Computer Science,https://www.class-central.com/course/coursera-linux-server-management-and-security-9319,Linux Server Management and Security
Computer Science,https://www.class-central.com/course/coursera-planning-auditing-and-maintaining-enterprise-systems-9321,"Planning, Auditing and Maintaining Enterprise Systems"
Computer Science,https://www.class-central.com/course/coursera-ibm-cloud-private-deploying-microservices-with-kubernetes-10751,IBM Cloud Private: Deploying Microservices with Kubernetes
Computer Science,https://www.class-central.com/course/coursera-systems-and-application-security-10338,Systems and Application Security
Computer Science,https://www.class-central.com/course/coursera-identifying-monitoring-and-analyzing-risk-and-incident-response-and-recovery-10340,"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery	"
Computer Science,https://www.class-central.com/course/coursera-cloud-computing-security-11754,Cloud Computing Security
Computer Science,https://www.class-central.com/course/coursera-google-cloud-platform-fundamentals-core-infrastructure-em-portugues-brasileiro-11759,Google Cloud Platform Fundamentals: Core Infrastructure em Português Brasileiro
Computer Science,https://www.class-central.com/course/coursera-google-cloud-platform-fundamentals-core-infrastructure-en-espanol-11761,Google Cloud Platform Fundamentals: Core Infrastructure en Español
Computer Science,https://www.class-central.com/course/coursera-palo-alto-networks-cybersecurity-gateway-ii-12012,Palo Alto Networks Cybersecurity Gateway II
Computer Science,https://www.class-central.com/course/coursera---artificial-intelligence-learning-theory-11519,人工智慧：機器學習與理論基礎 (Artificial Intelligence - Learning & Theory)
Computer Science,https://www.class-central.com/course/coursera-elastic-cloud-infrastructure-scaling-and-automation-8761,Elastic Cloud Infrastructure: Scaling and Automation
Computer Science,https://www.class-central.com/course/coursera-networks-and-communications-security-10339,Networks and Communications Security
Computer Science,https://www.class-central.com/course/coursera-getting-started-with-application-development-9803,Getting Started With Application Development
Computer Science,https://www.class-central.com/course/france-universite-numerique-comprendre-le-coeur-d-internet-les-reseaux-d-operateurs-11628,Comprendre le coeur d'internet : les réseaux d'opérateurs
Computer Science,https://www.class-central.com/course/edx-programming-chatbots-with-watson-services-11731,Programming Chatbots with Watson Services
Computer Science,https://www.class-central.com/course/coursera--solving-algorithms-for-discrete-optimization-11217,离散优化算法篇 Solving Algorithms for Discrete Optimization
Computer Science,https://www.class-central.com/course/coursera-blockchain-foundations-and-use-cases-12020,Blockchain: Foundations and Use Cases
Computer Science,https://www.class-central.com/course/coursera-cloud-computing-concepts-part-2-2942,Cloud Computing Concepts: Part 2
